datetime,avg_price,min_price,max_price,volume,item,date,time,avg_price_7d
2025-06-02 00:00:00+00:00,85.0,75,95,73,Ember,2025-06-02,00:00:00,81.21428571428571
2025-06-03 00:00:00+00:00,89.0,79,99,66,Ember,2025-06-03,00:00:00,82.5
2025-06-04 00:00:00+00:00,89.0,88,90,36,Ember,2025-06-04,00:00:00,83.71428571428571
2025-06-05 00:00:00+00:00,89.0,88,90,40,Ember,2025-06-05,00:00:00,84.57142857142857
2025-06-06 00:00:00+00:00,88.5,87,90,64,Ember,2025-06-06,00:00:00,85.78571428571429
2025-06-07 00:00:00+00:00,88.5,87,90,46,Ember,2025-06-07,00:00:00,87.0
2025-06-08 00:00:00+00:00,85.0,80,90,83,Ember,2025-06-08,00:00:00,87.71428571428571
2025-06-09 00:00:00+00:00,89.0,88,90,51,Ember,2025-06-09,00:00:00,88.28571428571429
2025-06-10 00:00:00+00:00,89.5,89,90,53,Ember,2025-06-10,00:00:00,88.35714285714286
2025-06-11 00:00:00+00:00,88.5,87,90,33,Ember,2025-06-11,00:00:00,88.28571428571429
2025-06-12 00:00:00+00:00,89.0,88,90,45,Ember,2025-06-12,00:00:00,88.28571428571429
2025-06-13 00:00:00+00:00,89.0,88,90,47,Ember,2025-06-13,00:00:00,88.35714285714286
2025-06-14 00:00:00+00:00,88.5,87,90,40,Ember,2025-06-14,00:00:00,88.35714285714286
2025-06-15 00:00:00+00:00,88.5,87,90,50,Ember,2025-06-15,00:00:00,88.85714285714286
2025-06-16 00:00:00+00:00,89.5,89,90,32,Ember,2025-06-16,00:00:00,88.92857142857143
2025-06-17 00:00:00+00:00,90.0,87,93,54,Ember,2025-06-17,00:00:00,89.0
2025-06-18 00:00:00+00:00,89.0,88,90,40,Ember,2025-06-18,00:00:00,89.07142857142857
2025-06-19 00:00:00+00:00,88.5,87,90,38,Ember,2025-06-19,00:00:00,89.0
2025-06-20 00:00:00+00:00,89.5,89,90,40,Ember,2025-06-20,00:00:00,89.07142857142857
2025-06-21 00:00:00+00:00,89.0,88,90,41,Ember,2025-06-21,00:00:00,89.14285714285714
2025-06-22 00:00:00+00:00,88.5,87,90,47,Ember,2025-06-22,00:00:00,89.14285714285714
2025-06-23 00:00:00+00:00,89.5,88,91,36,Ember,2025-06-23,00:00:00,89.14285714285714
2025-06-24 00:00:00+00:00,89.0,88,90,48,Ember,2025-06-24,00:00:00,89.0
2025-06-25 00:00:00+00:00,87.5,85,90,47,Ember,2025-06-25,00:00:00,88.78571428571429
2025-06-26 00:00:00+00:00,90.0,80,100,43,Ember,2025-06-26,00:00:00,89.0
2025-06-27 00:00:00+00:00,88.5,87,90,32,Ember,2025-06-27,00:00:00,88.85714285714286
2025-06-28 00:00:00+00:00,90.0,80,100,65,Ember,2025-06-28,00:00:00,89.0
2025-06-29 00:00:00+00:00,86.5,83,90,98,Ember,2025-06-29,00:00:00,88.71428571428571
2025-06-30 00:00:00+00:00,81.5,72,91,47,Ember,2025-06-30,00:00:00,87.57142857142857
2025-07-01 00:00:00+00:00,84.0,78,90,47,Ember,2025-07-01,00:00:00,86.85714285714286
2025-07-02 00:00:00+00:00,87.5,80,95,49,Ember,2025-07-02,00:00:00,86.85714285714286
